brand,model,model_year,Mileage(mi),fuel_type,engine,transmission,ext_col,accident,Accident_var,clean_title,price
Toyota,Avalon Limited,2008,111300,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gold,None reported,0,Yes,7900
Toyota,Avalon Limited,2022,16156,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Blueprint,None reported,0,No,39390
Toyota,Tacoma Base,2020,27256,Gasoline,3.5 Liter,6 Speed At/Mt,Midnight Black Metallic,None reported,0,No,42998
Nissan,Xterra Pro-4X,2011,183000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,1,Yes,12000
Nissan,Titan SV,2021,27598,Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,Black,None reported,0,No,39884
Nissan,Murano SL,2010,138700,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,At least 1 accident or damage reported,1,Yes,7000
Toyota,Tundra Limited,2022,3959,Gasoline,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,None reported,0,Yes,55000
Toyota,FJ Cruiser Base,2014,92000,Gasoline,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,0,Yes,27500
Nissan,Murano SV,2021,23677,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,Sunset Drift Chromaflair,None reported,0,No,29510
Toyota,Camry Solara SLE,2007,138000,Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,None reported,0,Yes,6800
Toyota,FJ Cruiser Base,2013,53000,Gasoline,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,None reported,0,Yes,36740
Toyota,4Runner SR5 Premium,2023,1400,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,46500
Toyota,Sienna XLE Limited,2007,112630,Gasoline,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,At least 1 accident or damage reported,1,Yes,11500
Toyota,Tundra Limited,2010,89400,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,26900
Toyota,Tundra SR,2018,74000,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Beige,At least 1 accident or damage reported,1,Yes,38000
Nissan,Titan SL,2021,95993,Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,White,None reported,0,Yes,32612
Toyota,Tundra SR5,2015,99000,Gasoline,310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,0,Yes,27000
Toyota,4Runner SR5,2006,135000,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,16900
Nissan,Frontier SE Crew Cab,2006,134000,Gasoline,265.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,1,Yes,8500
Nissan,Rogue Sport S,2021,24000,Gasoline,141.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,0,Yes,25500
Toyota,4Runner SR5,2016,101900,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,None reported,0,Yes,29000
Toyota,Celica GT,2001,122000,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,None reported,0,Yes,7800
Nissan,350Z Enthusiast,2007,117000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,At least 1 accident or damage reported,1,Yes,9975
Nissan,Altima 2.5 SL,2012,91545,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,None reported,0,Yes,8999
Toyota,Camry XLE,2007,59700,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Green,None reported,0,Yes,9500
Nissan,Altima 2.5 SV,2020,22295,Gasoline,2.5L I4 16V GDI DOHC,Automatic CVT,Scarlet Ember,None reported,0,No,23599
Toyota,Sequoia Platinum,2023,1025,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Black,None reported,0,Yes,85000
Toyota,Highlander Limited,2020,53550,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Blue,None reported,0,Yes,39687
Honda,Odyssey EX-L,2022,18385,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,None reported,0,Yes,37950
Nissan,350Z Touring,2008,123500,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,At least 1 accident or damage reported,1,Yes,13500
Nissan,Titan XD SV,2017,80000,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,None reported,0,Yes,23800
Nissan,Pathfinder SL,2020,45000,Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,None reported,0,Yes,28999
Nissan,Titan SV,2021,7250,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,None reported,0,Yes,38000
Toyota,Sequoia SR5,2007,136000,Gasoline,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,12500
Toyota,Land Cruiser Base,2000,209193,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,15900
Toyota,Tundra Platinum,2023,8800,Gasoline,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,68500
Nissan,Versa 1.6 SL,2015,85768,Gasoline,109.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,At least 1 accident or damage reported,1,Yes,8250
Toyota,Land Cruiser Base,2010,269885,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,At least 1 accident or damage reported,1,Yes,22500
Honda,Civic Sport,2021,42750,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Black,None reported,0,Yes,25698
Toyota,FJ Cruiser Base,2007,102000,Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,None reported,0,Yes,24900
Toyota,Avalon Limited,2006,89987,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Green,None reported,0,Yes,9499
Toyota,4Runner Trail,2011,157000,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,0,Yes,23500
Honda,CR-V Touring,2019,55100,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,White,None reported,0,No,28324
Toyota,Highlander Hybrid Limited,2018,62200,Hybrid,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Brown,None reported,0,Yes,35707
Toyota,Tacoma TRD Sport,2019,36283,Gasoline,3.5 Liter,Automatic,Barcelona Red,None reported,0,No,39598
Nissan,GT-R Premium,2021,22185,Gasoline,3.8L V6 24V MPFI DOHC Twin Turbo,6-Speed Automatic with Auto-Shift,Bayside Blue,None reported,0,Yes,131999
Honda,Odyssey LX,2011,185000,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Purple,None reported,0,Yes,8900
Honda,Civic LX,2016,111000,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,None reported,0,Yes,13000
Nissan,Pathfinder SV,2019,122009,Gasoline,3.5 Liter,Automatic,Gray,None reported,0,No,18998
Toyota,Highlander XLE,2015,68575,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,At least 1 accident or damage reported,1,Yes,26000
Nissan,Juke NISMO RS,2016,30700,Gasoline,215.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,1,Yes,21500
Toyota,Land Cruiser Base,2017,65000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,1,Yes,65000
Toyota,Highlander Platinum,2020,41000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,None reported,0,Yes,38700
Toyota,RAV4 Prime XSE,2022,7100,Plug-In Hybrid,302.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Gray,None reported,0,Yes,49000
Toyota,Highlander SE,2019,92000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,At least 1 accident or damage reported,1,Yes,30000
Honda,CR-V LX,2004,176261,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,M/T,Gray,None reported,0,Yes,3750
Honda,Civic EX,2013,107000,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,14000
Toyota,Tacoma Base,2011,36000,Gasoline,159.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Gray,None reported,0,Yes,20000
Honda,Pilot EX-L,2016,135350,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,At least 1 accident or damage reported,1,Yes,19900
Toyota,4Runner SR5 Premium,2021,36180,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,36990
Nissan,Xterra S,2012,80000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,14800
Toyota,4Runner Limited,2021,25882,Gasoline,"4L V-6 DOHC, VVT-i variable valve control, engine with 270HP",Automatic,Midnight Black Metallic,None reported,0,No,43837
Toyota,Tundra SR5 Double Cab,2005,170000,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,At least 1 accident or damage reported,1,Yes,11200
Nissan,Pathfinder S,2014,135000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,8500
Honda,Accord Sport,2013,405000,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,None reported,0,Yes,6000
Honda,S2000 CR,2008,44300,Gasoline,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,M/T,Yellow,None reported,0,Yes,62000
Toyota,Tacoma SR5,2018,65290,Gasoline,278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,At least 1 accident or damage reported,1,Yes,26450
Nissan,Maxima SV,2022,36466,Gasoline,3.5L V6 24V GDI DOHC,Automatic CVT,Brilliant Silver Metallic,None reported,0,No,24980
Honda,Pilot EX-L,2016,80500,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,0,Yes,23000
Honda,Civic Sport,2020,121212,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,White,At least 1 accident or damage reported,1,Yes,18387
Nissan,Maxima 3.5 SR,2019,72150,Gasoline,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,White,At least 1 accident or damage reported,1,Yes,26999
Toyota,Highlander XLE,2022,4437,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,None reported,0,Yes,42000
Toyota,Corolla CE,2008,170000,Gasoline,126.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,0,Yes,5199
Honda,Element EX,2008,122000,Gasoline,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,None reported,0,Yes,10500
Honda,Prelude Type SH,2001,125000,Gasoline,200.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,None reported,0,Yes,18000
Nissan,Armada LE,2009,87130,Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,None reported,0,Yes,20000
Toyota,Camry Solara SLE,2008,73000,Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,At least 1 accident or damage reported,1,Yes,11500
Honda,Odyssey EX-L,2007,170000,Gasoline,244.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,7700
Nissan,370Z Touring,2009,133409,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,At least 1 accident or damage reported,1,Yes,14999
Honda,Accord EX-L,2019,62200,Gasoline,192.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,At least 1 accident or damage reported,1,Yes,21500
Honda,Clarity Plug-In Hybrid Base,2018,71000,Plug-In Hybrid,212.0HP 1.5L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Red,At least 1 accident or damage reported,1,Yes,17500
Toyota,Highlander XLE,2020,35000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,36999
Nissan,350Z Touring,2007,90000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,M/T,White,At least 1 accident or damage reported,1,Yes,12000
Toyota,86 Base,2020,14700,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,27350
Honda,Accord EX-L,2014,62000,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,At least 1 accident or damage reported,1,Yes,18987
Honda,Civic LX,2015,51300,Gasoline,143.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,0,Yes,17500
Toyota,Venza XLE,2013,103466,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,At least 1 accident or damage reported,1,Yes,14200
Toyota,Camry Hybrid Base,2011,133121,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,At least 1 accident or damage reported,1,Yes,7900
Nissan,350Z Touring,2004,110897,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,1,Yes,11500
Nissan,Maxima SL,2007,101600,Gasoline,255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,6700
Toyota,Corolla S Plus,2016,68364,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,None reported,0,Yes,16000
Toyota,Camry Hybrid XLE,2018,22000,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,None reported,0,Yes,29500
Honda,Civic Sport,2020,23131,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,Crystal Black Pearl,At least 1 accident or damage reported,1,No,23739
Honda,CR-V Touring,2022,20229,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Black,None reported,0,No,36727
Honda,Civic EX,2012,167506,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,6500
Toyota,4Runner 4WD,1999,267000,Gasoline,150.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,At least 1 accident or damage reported,1,Yes,8000
Toyota,GR86 Premium,2022,1050,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,0,Yes,40000
Nissan,Maxima SV,2014,117000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,At least 1 accident or damage reported,1,Yes,10900
Toyota,Tundra SR5,2016,119000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,None reported,0,Yes,29950
Toyota,Tacoma TRD Sport,2020,41199,Gasoline,3.5 Liter,6 Speed Mt,Black,None reported,0,No,41598
Toyota,Yaris L,2012,129355,Gasoline,106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,At least 1 accident or damage reported,1,Yes,7950
Honda,Civic EX,2008,190640,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,At least 1 accident or damage reported,1,Yes,5500
Nissan,Pathfinder S,2020,41250,Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,White,None reported,0,Yes,21865
Toyota,Tacoma Base,2009,48750,Gasoline,159.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,M/T,Brown,None reported,0,Yes,17900
Nissan,Armada Platinum,2018,119950,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,0,Yes,20999
Toyota,Tundra SR5,2015,108044,Gasoline,5.7L V8 32V MPFI DOHC,6-Speed Automatic,Black,None reported,0,Yes,31380
Toyota,Tacoma TRD Sport,2018,84184,Gasoline,3.5 Liter,Automatic,Magnetic Gray Metallic,None reported,0,No,35998
Nissan,Quest SL,2011,185000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,At least 1 accident or damage reported,1,Yes,7500
Toyota,Highlander Limited,2011,106000,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,At least 1 accident or damage reported,1,Yes,16600
Toyota,Highlander Hybrid Limited Platinum,2019,13828,Hybrid,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Blue,None reported,0,Yes,43000
Toyota,Tacoma SR,2022,5020,Gasoline,278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,36500
Toyota,Corolla LE,2016,17500,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,None reported,0,Yes,15100
Nissan,Pathfinder Silver,2012,206000,Gasoline,266.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,0,Yes,5000
Toyota,Avalon Hybrid XLE Premium,2015,161000,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Blue,None reported,0,Yes,11500
Nissan,Juke SL,2012,74750,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,None reported,0,Yes,12500
Nissan,Armada SV,2017,187141,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,16995
Honda,Accord Hybrid Touring,2017,96400,Hybrid,212.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,At least 1 accident or damage reported,1,Yes,18500
Nissan,Armada Platinum,2022,8400,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,None reported,0,Yes,59950
Toyota,4Runner Limited,2014,146700,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,At least 1 accident or damage reported,1,Yes,24999
Toyota,C-HR LE,2020,14065,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,Gray,At least 1 accident or damage reported,1,Yes,27671
Honda,CR-V EX,2004,156350,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,At least 1 accident or damage reported,1,Yes,3990
Toyota,Camry XSE,2022,19361,Gasoline,3.5 Liter,Automatic,Red,None reported,0,No,38298
Toyota,Highlander XLE,2022,31000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,None reported,0,Yes,43000
Nissan,Juke SL,2012,72639,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,At least 1 accident or damage reported,1,Yes,15000
Honda,Pilot EX-L,2011,175000,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,None reported,0,Yes,9000
Toyota,Tundra SR5,2020,26300,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,At least 1 accident or damage reported,1,Yes,46199
Honda,Fit Sport,2007,156111,Gasoline,109.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,At least 1 accident or damage reported,1,Yes,5200
Honda,Accord Crosstour EX-L,2010,145000,Gasoline,271.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Green,None reported,0,Yes,9000
Toyota,RAV4 Base,2009,78500,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,None reported,0,Yes,12000
Toyota,Tacoma SR5,2018,25083,Gasoline,3.5L V6 24V PDI DOHC,6-Speed Automatic,Red,At least 1 accident or damage reported,1,Yes,34955
Toyota,Highlander Hybrid Limited Platinum,2019,46000,Hybrid,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Silver,None reported,0,Yes,40000
Toyota,Sequoia Limited,2018,63990,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,At least 1 accident or damage reported,1,Yes,48000
Honda,Civic EX,2020,13935,Gasoline,174.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,None reported,0,Yes,26000
Honda,Accord Hybrid Base,2021,33523,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,Lunar Silver Metallic,None reported,0,No,28748
Toyota,Prius v Three,2016,86300,Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,At least 1 accident or damage reported,1,Yes,18000
Nissan,350Z NISMO,2008,76500,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,At least 1 accident or damage reported,1,Yes,28000
Toyota,4Runner SR5,2018,32199,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,35500
Nissan,Altima 2.5 S,2003,189000,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,At least 1 accident or damage reported,1,Yes,2899
Toyota,Land Cruiser Base,2000,265000,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,None reported,0,Yes,15500
Honda,S2000 Base,2001,119900,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,1,Yes,18000
Toyota,Sienna XSE 25th Anniversary,2023,500,Hybrid,245.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,None reported,0,Yes,59500
Toyota,86 860 Special Edition,2017,87500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,None reported,0,Yes,20000
Honda,Pilot EX-L,2020,44000,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,34999
Toyota,4Runner Limited,2016,82260,Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Nautical Blue Pearl,None reported,0,Yes,31906
Nissan,Maxima GLE,2000,194277,Gasoline,222.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,At least 1 accident or damage reported,1,Yes,2300
Honda,S2000 Base,2003,101000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,None reported,0,Yes,28000
Nissan,Armada LE,2005,152270,Gasoline,305.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Green,At least 1 accident or damage reported,1,Yes,6900
Toyota,Tacoma PreRunner,2011,149000,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,18995
Toyota,Highlander XLE,2018,74000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,None reported,0,Yes,27950
Toyota,Tacoma PreRunner,2008,160000,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,At least 1 accident or damage reported,1,Yes,17000
Honda,Element EX,2008,192000,Gasoline,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,At least 1 accident or damage reported,1,Yes,11000
Nissan,Kicks S,2022,19877,Gasoline,1.6L I4 16V MPFI DOHC,Automatic CVT,Super Black,None reported,0,No,18999
Nissan,Frontier SV,2012,65750,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,1,Yes,15995
Nissan,Xterra S,2008,227010,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,None reported,0,Yes,3850
Nissan,Kicks S,2022,15577,Gasoline,1.6L I4 16V MPFI DOHC,Automatic CVT,Electric Blue Metallic,None reported,0,No,19599
Nissan,Altima 2.5 SL,2014,153350,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,1,Yes,9000
Nissan,Pathfinder S,2017,145000,Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,At least 1 accident or damage reported,1,Yes,8500
Nissan,Murano SL,2021,43875,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,Magnetic Black,At least 1 accident or damage reported,1,No,29725
Toyota,4Runner Limited,2014,65000,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,0,Yes,27999
Toyota,4Runner Limited Nightshade,2019,48842,Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,White,At least 1 accident or damage reported,1,Yes,39857
Toyota,Prius Plug-in Base,2014,106000,Plug-In Hybrid,134.0HP 1.8L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Green,At least 1 accident or damage reported,1,Yes,11800
Toyota,Matrix XR,2004,173452,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,At least 1 accident or damage reported,1,Yes,4000
Nissan,Murano SV,2020,47147,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,Brilliant Silver Metallic,None reported,0,Yes,23625
Toyota,Camry XLE,2007,98528,Gasoline,158.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,At least 1 accident or damage reported,1,Yes,7450
Toyota,Tundra SR5 Double Cab,2005,199400,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,1,Yes,8500
Toyota,Tundra Platinum,2018,66000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,0,Yes,51000
Nissan,Altima 2.5 S,2020,30900,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,21000
Toyota,RAV4 SE,2016,108130,Gasoline,176.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,None reported,0,Yes,18500
Toyota,4Runner TRD Sport,2023,11400,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Green,None reported,0,Yes,46000
Nissan,GT-R Premium,2013,101000,Gasoline,545.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,None reported,0,Yes,59000
